idx,cx,cy,radius_px,diameter_mm,label,value
0,427.8,949.7,218.9,20.49,25kr,0.25
1,434.4,328.1,257.7,24.12,50kr,0.5
2,1094.4,947.8,253.6,23.73,50kr,0.5
3,1111.7,344.7,218.0,20.40,25kr,0.25
4,1727.4,343.7,279.4,26.15,1TL,1.0
5,1771.3,988.8,215.4,20.16,25kr,0.25
6,2377.0,336.2,254.5,23.82,50kr,0.5
7,2386.0,967.6,278.3,26.05,1TL,1.0
