idx,cx,cy,radius_px,diameter_mm,label,value
0,481.2,1022.1,229.2,20.20,25kr,0.25
1,513.7,387.0,296.8,26.15,1TL,1.0
2,1194.6,1030.8,266.4,23.48,50kr,0.5
3,1195.4,380.7,268.3,23.65,50kr,0.5
4,1737.9,961.0,206.5,18.20,10kr,0.1
5,1785.7,399.0,229.4,20.22,25kr,0.25
6,2352.9,976.3,292.7,25.79,1TL,1.0
7,2398.3,344.5,269.3,23.73,50kr,0.5
