idx,cx,cy,radius_px,diameter_mm,label,value
0,358.3,799.6,161.3,20.27,25kr,0.25
1,754.2,496.0,208.1,26.15,1TL,1.0
2,763.0,1084.3,186.1,23.39,50kr,0.5
