idx,cx,cy,radius_px,diameter_mm,label,value
0,569.9,686.2,121.8,18.57,10kr,0.1
1,855.0,895.5,132.1,20.14,25kr,0.25
2,857.6,446.4,171.5,26.15,1TL,1.0
