idx,cx,cy,radius_px,diameter_mm,label,value
0,666.6,1305.8,225.8,23.59,50kr,0.5
1,746.7,818.7,177.8,18.57,10kr,0.1
2,1163.6,1134.3,192.1,20.06,25kr,0.25
3,1187.0,479.6,250.4,26.15,1TL,1.0
