idx,cx,cy,radius_px,diameter_mm,label,value
0,533.4,346.2,309.4,26.15,1TL,1.0
1,543.9,1084.6,304.9,25.77,1TL,1.0
2,1311.9,1080.1,302.6,25.57,1TL,1.0
3,1319.2,321.9,308.3,26.06,1TL,1.0
4,2012.2,695.2,280.1,23.67,50kr,0.5
