idx,cx,cy,radius_px,diameter_mm,label,value
0,629.9,598.9,270.2,26.15,1TL,1.0
1,665.6,1318.2,264.1,25.56,1TL,1.0
2,1281.1,609.0,266.7,25.82,1TL,1.0
3,1294.2,1292.1,264.3,25.58,1TL,1.0
