idx,cx,cy,radius_px,diameter_mm,label,value
0,503.3,904.7,163.0,18.44,10kr,0.1
1,900.3,577.7,231.1,26.15,1TL,1.0
2,915.6,1232.9,208.6,23.60,50kr,0.5
