idx,cx,cy,radius_px,diameter_mm,label,value
0,671.4,3313.9,361.3,24.17,50kr,0.5
1,726.5,2324.5,277.2,18.54,10kr,0.1
2,785.0,455.5,310.1,20.74,25kr,0.25
3,794.6,1422.8,356.8,23.87,50kr,0.5
4,1570.2,3262.9,390.9,26.15,1TL,1.0
5,1622.5,1382.1,301.3,20.16,25kr,0.25
6,1631.5,2382.9,303.5,20.30,25kr,0.25
7,1658.0,522.2,356.2,23.83,50kr,0.5
