idx,cx,cy,radius_px,diameter_mm,label,value
0,426.0,3153.4,254.9,24.20,50kr,0.5
1,466.9,2449.7,195.4,18.55,10kr,0.1
2,479.7,1117.6,218.8,20.77,25kr,0.25
3,494.9,416.5,252.5,23.97,50kr,0.5
4,525.3,1825.2,214.7,20.38,25kr,0.25
5,1033.8,3193.7,275.5,26.15,1TL,1.0
6,1081.9,2500.1,215.6,20.47,25kr,0.25
7,1115.4,1209.2,215.3,20.43,25kr,0.25
8,1115.6,1848.7,213.7,20.29,25kr,0.25
9,1129.4,460.3,219.7,20.85,25kr,0.25
