idx,cx,cy,radius_px,diameter_mm,label,value
0,473.0,455.8,228.8,20.97,25kr,0.25
1,491.3,2559.8,261.9,24.01,50kr,0.5
2,505.3,1858.5,284.1,26.04,1TL,1.0
3,514.9,1168.1,261.1,23.93,50kr,0.5
4,1115.4,470.9,266.5,24.43,50kr,0.5
5,1120.1,1108.0,223.0,20.44,25kr,0.25
6,1146.2,2490.3,285.3,26.15,1TL,1.0
7,1159.3,1844.8,221.7,20.32,25kr,0.25
